# {'date': u'2016_May_04_1211', 'frameRate': None, 'expName': 'RNGT', u'participant': u'008'}
subj,time,stimulus,response
008,217.0002547241,1,
008,217.0713417084,0,0
008,218.0003421202,1,
008,218.1353337414,0,9
008,219.0003632695,1,
008,219.1433309572,0,9
008,220.0003716670,1,
008,220.0873233882,0,bracketright
008,221.0003386990,1,
008,221.0553090216,0,3
008,222.0002970226,1,
008,222.0953062971,0,4
008,223.0003548720,1,
008,223.0873224552,0,5
008,224.0003716670,1,
008,224.0953118955,0,b
008,225.0004102333,1,
008,225.0232934110,0,n
008,226.0003271913,1,
008,226.0712555563,0,n
008,227.0003253252,1,
008,227.0392576738,0,3
008,228.0003368329,1,
008,228.0632418566,0,minus
008,229.0003278134,1,
008,229.0792459297,0,bracketright
008,230.0003147506,1,
008,230.0792282017,0,9
008,231.0003184828,1,
008,231.0952201450,0,5
008,232.0003240812,1,
008,232.0552066966,0,4
008,233.0002824047,1,
008,233.0952027280,0,0
008,234.0003110184,1,
008,234.1192338746,0,5
008,234.2391725169,0,9
008,235.0003110184,1,
008,235.1431788692,0,9
008,236.0003125735,1,
008,236.2871663861,0,q
008,237.0003349668,1,
008,237.0551556896,0,n
008,238.0002908022,1,
008,238.0951486108,0,b
008,238.9911487277,0,minus
008,239.0004024578,1,
008,239.9991583842,0,4
008,240.0003225261,1,
008,241.0003554940,1,
008,241.0311749279,0,0
008,241.9831474687,0,3
008,242.0003508287,1,
008,243.0003209710,1,
008,243.0151080291,0,minus
008,244.0003517618,1,
008,244.0710907166,0,0
008,244.5350806968,0,q
008,245.0003567381,1,
008,245.4870834064,0,bracketright
008,246.0003296795,1,
008,246.2150748124,0,minus
008,247.0003704229,1,
008,247.1190690349,0,3
008,248.0003138176,1,
008,248.0870708413,0,minus
008,249.0003352778,1,
008,249.1271026398,0,4
008,250.0003386990,1,
008,250.1590383187,0,4
008,251.0003346558,1,
008,251.0710282019,0,9
008,252.0003287464,1,
008,252.0710201154,0,5
008,253.0003477186,1,
008,253.1430109192,0,4
008,254.0003131955,1,
008,254.1029934276,0,q
008,255.0003141286,1,
008,255.1590013075,0,bracketright
008,256.0003290575,1,
008,256.1429869708,0,b
008,257.0003222150,1,
008,257.1269751223,0,n
008,258.0003166167,1,
008,258.1590013075,0,n
008,259.0003271913,1,
008,259.1349997076,0,n
008,260.0003290575,1,
008,260.1269626815,0,0
008,261.0003442974,1,
008,261.0549314453,0,4
008,262.0003489626,1,
008,262.0229310746,0,3
008,263.0003617144,1,
008,263.0229236102,0,q
008,264.0003343448,1,
008,264.0309192708,0,minus
008,265.0003396321,1,
008,265.0949290318,0,4
008,266.0003424312,1,
008,266.1108855191,0,0
008,267.0003483406,1,
008,267.1508731530,0,5
008,268.0003455414,1,
008,268.1668660295,0,9
008,269.0003290575,1,
008,269.0948525213,0,0
008,270.0003809975,1,
008,270.1588554399,0,minus
008,271.0003452304,1,
008,271.1508386300,0,3
008,272.0003150616,1,
008,272.0868257588,0,q
008,273.0003197269,1,
008,273.0468315935,0,bracketright
008,274.0003131955,1,
008,274.0388169607,0,b
008,275.0003103963,1,
008,275.0388007877,0,n
008,276.0003191049,1,
008,276.0228455445,0,5
008,277.0003281244,1,
008,277.0628736108,0,4
008,278.0003075972,1,
008,278.0867903027,0,0
008,279.0003222150,1,
008,279.0227565933,0,0
008,280.0003051090,1,
008,280.2147469990,0,0
008,281.0003293685,1,
008,281.0467510397,0,5
008,282.0003141286,1,
008,282.0787352375,0,3
008,283.0003757102,1,
008,283.0387799495,0,q
008,284.0003617144,1,
008,284.0867215676,0,bracketright
008,285.0003402541,1,
008,285.0707302463,0,minus
008,286.0003688678,1,
008,286.0786879627,0,0
008,287.0003327897,1,
008,287.0866941980,0,n
008,288.0003561161,1,
008,288.1826760271,0,b
008,289.0003862848,1,
008,289.1186696873,0,9
008,290.0003169277,1,
008,290.0946550246,0,9
008,291.0003225261,1,
008,291.1426576023,0,9
008,292.0003153726,1,
008,292.1666427183,0,9
008,293.0003452304,1,
008,293.0627053499,0,4
008,294.0003194159,1,
008,294.1746601502,0,4
008,294.6866240945,0,q
008,295.0003113294,1,
008,295.2546416384,0,q
008,296.0003318566,1,
008,296.1665969985,0,minus
008,297.0003312346,1,
008,297.1505938585,0,0
008,298.0003181718,1,
008,298.1505736423,0,4
008,299.0003175498,1,
008,299.0225777577,0,5
008,300.0003094633,1,
008,300.0065674642,0,3
008,301.0003184828,1,
008,301.1505590244,0,3
008,301.1665422593,0,4
008,302.0003075972,1,
008,302.1265449838,0,4
008,303.0003303015,1,
008,303.1665338618,0,b
008,304.0003349668,1,
008,304.1025169474,0,n
008,305.0003430533,1,
008,305.1585537521,0,bracketright
008,306.0003247032,1,
008,306.1425058254,0,q
008,307.0003355888,1,
008,307.1265017523,0,minus
008,308.0003570491,1,
008,308.1504815809,0,3
008,309.0003744661,1,
008,309.1185101348,0,0
