# {'date': u'2016_Apr_29_1241', 'frameRate': None, 'expName': 'RNGT', u'participant': u'004'}
subj,time,stimulus,response
004,243.0002292185,1,
004,244.0003247003,1,
004,244.1165717499,0,q
004,245.0004453743,1,
004,245.0685487671,0,3
004,246.0002628082,1,
004,246.0685475230,0,minus
004,247.0003402510,1,
004,247.0925053642,0,9
004,247.9644935282,0,minus
004,248.0002923546,1,
004,248.0444867357,0,minus
004,249.0003103935,1,
004,249.1404698761,0,0
004,250.0003716636,1,
004,250.0684591946,0,5
004,251.0003710416,1,
004,251.0444388393,0,9
004,252.0003753958,1,
004,252.1004633199,0,4
004,253.0003268774,1,
004,253.1564265305,0,minus
004,254.0003296765,1,
004,254.0364059288,0,q
004,255.0003343417,1,
004,255.0683764645,0,3
004,256.0003240782,1,
004,256.0763617895,0,b
004,257.0003358968,1,
004,257.0363228877,0,n
004,258.0003321646,1,
004,258.0683170605,0,minus
004,259.0003219011,1,
004,259.0442864416,0,n
004,259.9083042093,0,bracketright
004,260.0004186270,1,
004,261.0003113266,1,
004,261.0042518940,0,3
004,261.9562286002,0,3
004,262.0003094605,1,
004,262.8602065828,0,q
004,263.0003197240,1,
004,264.0003119486,1,
004,264.0521999221,0,5
004,265.0003259443,1,
004,265.0041735181,0,4
004,266.0003256333,1,
004,266.0281605948,0,0
004,267.0003243893,1,
004,267.0201491444,0,minus
004,267.8761147187,0,4
004,268.0003302985,1,
004,269.0003057283,1,
004,269.0520991530,0,b
004,269.9801313916,0,9
004,270.0004186270,1,
004,270.9721286497,0,5
004,271.0003554908,1,
004,271.9480575988,0,3
004,272.0003212791,1,
004,272.8280267337,0,minus
004,273.0003424282,1,
004,273.9080270944,0,9
004,274.0003094605,1,
004,274.9399898547,0,b
004,275.0003334087,1,
004,275.9479754907,0,n
004,276.0006039923,1,
004,277.0003418061,1,
004,277.0119569940,0,5
004,277.8679309657,0,bracketright
004,278.0003371409,1,
004,278.9799245663,0,5
004,279.0003691755,1,
004,279.9479058232,0,4
004,280.0003072834,1,
004,281.0003144368,1,
004,281.1078850847,0,n
004,282.0003113266,1,
004,282.0518578049,0,9
004,283.0003330977,1,
004,283.1478477877,0,minus
004,284.0003178579,1,
004,284.0278187886,0,3
004,285.0003396290,1,
004,285.1078023546,0,4
004,285.9957854279,0,9
004,286.0003243893,1,
004,286.8437743856,0,n
004,287.0003128817,1,
004,288.0003066614,1,
004,288.0118027303,0,5
004,288.9797563069,0,9
004,289.0003072834,1,
004,290.0003144368,1,
004,290.1717925663,0,q
004,291.0003393180,1,
004,291.0436964451,0,minus
004,291.8276920809,0,3
004,292.0003330977,1,
004,292.7876699739,0,n
004,293.0003256333,1,
004,293.8356407061,0,5
004,294.0003178579,1,
004,294.8916238217,0,9
004,295.0003094605,1,
004,295.8916160463,0,4
004,296.0003222121,1,
004,296.8515796326,0,n
004,297.0003184800,1,
004,297.8115708993,0,5
004,298.0003312316,1,
004,298.7155607004,0,minus
004,299.0003181689,1,
004,299.6995443311,0,9
004,300.0003374519,1,
004,300.7155184023,0,5
004,301.0003066614,1,
004,302.0003439832,1,
004,302.0915070042,0,n
004,303.0005476984,1,
004,303.1714827948,0,5
004,304.0003701085,1,
004,304.0674574134,0,9
004,305.0003862814,1,
004,305.0834588540,0,3
004,306.0003701085,1,
004,306.1154763530,0,bracketright
004,306.9874231519,0,3
004,307.0003222121,1,
004,308.0003355858,1,
004,308.1314697072,0,9
004,309.0003386960,1,
004,309.1313639619,0,4
